Title,Price,Tags
Wobbledogs,Rp 86 399,"Dog, Life Sim, Simulation, Sandbox"
Sword of the Necromancer,Rp 86 399,"Action, Co-op, Adventure, Local Co-Op"
The Medium,Rp 441 000,"Adventure, Horror, Atmospheric, Psychological Horror"
Substance Painter 2021,Rp 511 999,"Design & Illustration, Animation & Modeling, Game Development"
Substance Designer 2021,Rp 511 999,"Design & Illustration, Animation & Modeling, Game Development"
Journey To The Savage Planet,Rp 83 999,"Adventure, Action, Action-Adventure, Arcade"
TOHU,Rp 86 399,"Casual, Point & Click, Female Protagonist, 2D"
Academia : School Simulator,Rp 104 999,"City Builder, Colony Sim, Management, Base Building"
Disjunction,Rp 89 999,"RPG, Indie, Action, Cyberpunk"
Curious Expedition 2,Rp 98 099,"Comic Book, Story Rich, Singleplayer, Turn-Based Combat"
Handball Manager 2021,Rp 143 999,"Sports, Simulation, Management, Economy"
DEVOUR,Rp 33 999,"Horror, Online Co-Op, Survival Horror, Multiplayer"
Ghost in the pool,Rp 35 999,"Adventure, Interactive Fiction, Visual Novel, 2D"
Re:ZERO -Starting Life in Another World- The Prophecy of the Throne,Rp 746 100,"Adventure, Strategy, Anime, Visual Novel"
Metal Unit,Rp 76 799,"Action, Indie, RPG, Adventure"
鬼谷八荒,Rp 98 099,"Early Access, Adventure, RPG, Exploration"
The Medium,Rp 441 000,"Adventure, Horror, Atmospheric, Psychological Horror"
Football Manager 2021,Rp 399 999,"Sports, Simulation, Management, Singleplayer"
Red Dead Redemption 2,Rp 428 800,"Adventure, Open World, Action, Western"
Ori and the Will of the Wisps,Rp 46 199,"Beautiful, Great Soundtrack, Metroidvania, Platformer"
Starbound,Rp 46 400,"Open World Survival Craft, Sandbox, Survival, Adventure"
The Elder Scrolls V: Skyrim Special Edition,Rp 212 800,"Open World, RPG, Adventure, Singleplayer"
Disco Elysium,Rp 101 999,"RPG, Choices Matter, Story Rich, Detective"
Skul: The Hero Slayer,Rp 87 199,"Indie, Action, Action Roguelike, Roguelite"
Sid Meier's Civilization® VI: New Frontier Pass,Rp 366 750,"Strategy, 4X"
DEVOUR,Rp 33 999,"Horror, Online Co-Op, Survival Horror, Multiplayer"
Hunt: Showdown,Rp 159 500,"Multiplayer, Hunting, Shooter, Horror"
Re:ZERO -Starting Life in Another World- The Prophecy of the Throne,Rp 746 100,"Adventure, Strategy, Anime, Visual Novel"
Assassin's Creed® Odyssey,Rp 185 700,"Open World, RPG, Assassin, Singleplayer"
EA Play,Rp 12 000,
Football Manager 2021,Rp 399 999,"Sports, Simulation, Management, Singleplayer"
鬼谷八荒,Rp 98 099,"Early Access, Adventure, RPG, Exploration"
Sid Meier’s Civilization® VI,Rp 150 000,"Strategy, Turn-Based Strategy, Historical, Multiplayer"
Red Dead Redemption 2,Rp 428 800,"Adventure, Open World, Action, Western"
The Elder Scrolls V: Skyrim Special Edition,Rp 212 800,"Open World, RPG, Adventure, Singleplayer"
Skul: The Hero Slayer,Rp 87 199,"Indie, Action, Action Roguelike, Roguelite"
Hunt: Showdown,Rp 159 500,"Multiplayer, Hunting, Shooter, Horror"
Assassin's Creed® Odyssey,Rp 185 700,"Open World, RPG, Assassin, Singleplayer"
Dead Cells,Rp 74 999,"Roguelite, Metroidvania, Replay Value, Souls-like"
Starbound,Rp 46 400,"Open World Survival Craft, Sandbox, Survival, Adventure"
Disco Elysium,Rp 101 999,"RPG, Choices Matter, Story Rich, Detective"
Kerbal Space Program,Rp 67 499,"Space, Simulation, Sandbox, Physics"
嗜血印 Bloody Spell,Rp 54 499,"Sexual Content, Nudity, Female Protagonist, Action"
Gunfire Reborn,Rp 65 569,"FPS, Co-op, Roguelite, Online Co-Op"
Assassin's Creed® Origins,Rp 123 800,"Open World, Assassin, Action, RPG"
Train Sim World 2: Southeastern High Speed: London St Pancras - Faversham Route Add-On,Rp 125 999,Simulation
Monster Energy Supercross - The Official Videogame 4,Rp 188 999,"Racing, Simulation, Sports, PvP"
Spacebase Startopia,Rp 188 999,"Strategy, Simulation, Space, Base Building"
HUMANKIND™,Rp 498 000,"Strategy, Turn-Based Strategy, Historical, 4X"
Warhammer Age of Sigmar: Storm Ground,Rp 296 650,"Strategy, Turn-Based Strategy, Turn-Based Tactics, Top-Down"
